#From	To
A2P2R3	YMR084W
P06115	YGR088W
P06168	YLR355C
P06169	YLR044C
P06174	YOR278W
P06182	YAL039C
P06197	YPR113W
P06208	YNL104C
P06242	YDL108W
P06243	YDL017W
P06244	YJL164C
P06245	YPL203W
P06367	YCR031C
P06633	YOR202W
P06634	YOR204W
P06700	YDL042C
P06701	YLR442C
P06704	YOR257W
P06738	YPR160W
P06773	YHR144C
P06774	YGL237C
P06775	YGR191W
P06776	YOR360C
P06777	YPL022W
P06778	YML032C
P06779	YJR052W
P06780	YPR165W
P06781	YNL090W
P06782	YDR477W
P06783	YKL178C
P06784	YDL159W
P06785	YOR074C
P06786	YNL088W
P06787	YBR109C
P06838	YML095C
P06839	YER171W
P06843	YER161C
P06844	YDR392W
P07143	YOR065W
P07149	YKL182W
P07170	YDR226W
P07172	YIL116W
P07213	YNL121C
P07236	YKL194C
P07244	YGL234W
P07245	YGR204W
P07246	YMR083W
P07248	YDR216W
P07249	YMR042W
P07250	YDR173C
P07251	YBL099W
P07252	YJL209W
P07253	YBR120C
P07255	YDL067C
P07256	YBL045C
P07257	YPR191W
P07258	YOR303W
P07259	YJL130C
P07260	YOL139C
P07261	YPL075W
P07262	YOR375C
P07263	YPR033C
P07264	YGL009C
P07266	YIR021W
P07267	YPL154C
P07269	YDL106C
P07270	YFR034C
P07271	YML061C
P07272	YLR014C
P07273	YGL043W
P07274	YOR122C
P07275	YHR037W
P07276	YGR258C
P07277	YMR208W
P07278	YIL033C
P07280	YOL121C
P07281	YNL302C
P07283	YFL045C
P07284	YDR023W
P07285	YDR354W
P07286	YBR243C
P07342	YMR108W
P07347	YHR013C
P07390	YNR045W
P07560	YFL005W
P07702	YBR115C
P07703	YPR110C
P07806	YGR094W
P07807	YOR236W
P07834	YFL009W
P07866	YAL024C
P07884	YOR274W
P07991	YLR438W
P08004	YNL192W
P08018	YJL128C
P08019	YIL099W
P08067	YEL024W
P08153	YDR146C
P08417	YPL262W
P08425	YPR047W
P08431	YBR018C
P08432	YKL184W
P08456	YER026C
P08458	YDR523C
P08459	YDR522C
P08465	YNL277W
P08466	YJL208C
P08468	YMR257C
P08518	YOR151C
P08521	YOR302W
P08524	YJL167W
P08525	YJL166W
P08536	YJR010W
P08539	YHR005C
P08566	YDR127W
P08593	YPR134W
P08638	YLR451W
P08640	YIR019C
P08678	YJL005W
P08679	YCR005C
P08964	YHR023W
P09007	YCR018C
P09032	YOR260W
P09064	YPL237W
P09119	YJL194W
P09201	YLR377C
P09232	YEL060C
P09368	YLR142W
P09435	YBL075C
P09436	YBL076C
P09440	YBR084W
P09457	YDR298C
P09547	YPL016W
P09620	YGL203C
P09624	YFL018C
P09733	YML085C
P09734	YML124C
P09798	YKL022C
P09880	YJL087C
P09932	YDL227C
P09937	YOR313C
P09938	YJL026W
P09950	YDR232W
P09959	YLR182W
P0C074	YNL138W-A
P0C0T4	YLR333C
P0C0V2	YER188C-A
P0C0V8	YKR057W
P0C0W1	YJL190C
P0C0W9	YPR102C
P0C0X0	YLR264W
P0C1V3	YAL016C-B
P0C1Z1	YDR524W-C
P0C261	YML057C-A
P0C268	YBL039W-B
P0C269	YBL100W-C
P0C270	YER138W-A
P0C271	YNL097C-B
P0C272	YOL013W-A
P0C289	YDR034C-A
P0C2H6	YHR010W
P0C2H7	YDR471W
P0C2H8	YDL075W
P0C2H9	YLR406C
P0C2I2	YDR316W-B
P0C2I3	YDR365W-B
P0C2I4	YHR214C-C
P0C2I5	YLR157C-B
P0C2I6	YLR227W-B
P0C2I8	YLR256W-A
P0C2I9	YPR137C-B
P0C2J0	YPR158W-B
P0C2J1	YPR158C-D
P0C2J3	YLR410W-B
P0C2J4	YLR410W-A
P0C2J7	YHL009W-B
P0C5B8	YHL050W-A
P0C5E0	YDR193W
P0C5E1	YPR059C
P0C5K9	YBL039C-A
P0C5L0	YBR056C-B
P0C5L1	YBL068W-A
P0C5L2	YBR076C-A
P0C5L3	YBR103C-A
P0C5L4	YBR121C-A
P0C5L5	YBR191W-A
P0C5L6	YDL022C-A
P0C5L7	YDR118W-A
P0C5L8	YDL240C-A
P0C5L9	YDL247W-A
P0C5M0	YDR320W-B
P0C5M1	YDR371C-A
P0C5M2	YDR406W-A
P0C5M3	YDR183C-A
P0C5M4	YDL185C-A
P0C5M5	YDL114W-A
P0C5M6	YEL020C-B
P0C5M7	YEL050W-A
P0C5M8	YER090C-A
P0C5M9	YFR009W-A
P0C5N0	YFR010W-A
P0C5N1	YGL014C-A
P0C5N2	YGR122C-A
P0C5N3	YGL041W-A
P0C5N4	YHR073C-B
P0C5N5	YHR180C-B
P0C5N6	YHR032W-A
P0C5N7	YHR073W-A
P0C5N8	YHR180W-A
P0C5N9	YJL156W-A
P0C5P0	YJL197C-A
P0C5P1	YJL127W-A
P0C5P2	YKL100W-A
P0C5P3	YKL145W-A
P0C5P4	YKL162C-A
P0C5P5	YKL165C-A
P0C5P6	YLR163W-A
P0C5P7	YLR222C-A
P0C5P8	YLR149C-A
P0C5P9	YLR154W-B
P0C5Q0	YLR154W-F
P0C5Q1	YLR364C-A
P0C5Q2	YMR013W-A
P0C5Q3	YMR013C-A
P0C5Q4	YMR141W-A
P0C5Q5	YMR307C-A
P0C5Q6	YMR194C-A
P0C5Q7	YNR001W-A
P0C5Q8	YNL067W-A
P0C5Q9	YOR008W-B
P0C5R0	YOR314W-A
P0C5R1	YOR329W-A
P0C5R2	YOR072W-A
P0C5R3	YOR073W-A
P0C5R4	YOL083C-A
P0C5R5	YPR016W-A
P0C5R6	YPR074W-A
P0C5R7	YPR169W-A
P0C5R8	YPR170W-A
P0C5R9	YPR170W-B
P0C5S0	YPL250W-A
P0C5S1	YPR160W-A
P0CD90	YLL052C
P0CD91	YPR192W
P0CD97	YER039C-A
P0CD98	YLL053C
P0CD99	YDL247W
P0CE00	YJR160C
P0CE11	YER039C
P0CE41	YLR256W
P0CE68	YKR103W
P0CE69	YKR104W
P0CE85	YMR325W
P0CE86	YOR394W
P0CE86	YPL282C
P0CE87	YOR394W
P0CE87	YPL282C
P0CE88	YIL176C
P0CE88	YJL223C
P0CE89	YIL176C
P0CE89	YJL223C
P0CE90	YLL064C
P0CE90	YNR076W
P0CE91	YLL064C
P0CE91	YNR076W
P0CE92	YAL068C
P0CE92	YGL261C
P0CE93	YAL068C
P0CE93	YGL261C
P0CE96	YLR156W
P0CE96	YLR159W
P0CE96	YLR161W
P0CE97	YLR156W
P0CE97	YLR159W
P0CE97	YLR161W
P0CE98	YLR156W
P0CE98	YLR159W
P0CE98	YLR161W
P0CE99	YLR157W-D
P0CF00	YLR157W-E
P0CF16	YML003W
P0CF17	YML002W
P0CF18	YMR085W
P0CF19	YOL162W
P0CF20	YOL163W
P0CG63	YLL039C
P0CH08	YIL148W
P0CH08	YKR094C
P0CH09	YIL148W
P0CH09	YKR094C
P0CH63	YFL061W
P0CH63	YNL335W
P0CH64	YFL061W
P0CH64	YNL335W
P0CI66	YHR213W
P0CI67	YHR213W
P0CL23	YJL222W-B
P0CL24	YJL222W-B
P0CL25	YJL222W-A
P0CL26	YJL222W-A
P0CL27	YER190C-A
P0CL27	YGR296C-A
P0CL27	YML133W-A
P0CL27	YNL339W-A
P0CL27	YPL283W-A
P0CL28	YER190C-A
P0CL28	YGR296C-A
P0CL28	YML133W-A
P0CL28	YNL339W-A
P0CL28	YPL283W-A
P0CL29	YER190C-A
P0CL29	YGR296C-A
P0CL29	YML133W-A
P0CL29	YNL339W-A
P0CL29	YPL283W-A
P0CL30	YER190C-A
P0CL30	YGR296C-A
P0CL30	YML133W-A
P0CL30	YNL339W-A
P0CL30	YPL283W-A
P0CL31	YER190C-A
P0CL31	YGR296C-A
P0CL31	YML133W-A
P0CL31	YNL339W-A
P0CL31	YPL283W-A
P0CL32	YHR052W-A
P0CL32	YHR054W-A
P0CL33	YHR052W-A
P0CL33	YHR054W-A
P0CL34	YHR219C-A
P0CL34	YML133W-B
P0CL34	YNL339W-B
P0CL35	YHR219C-A
P0CL35	YML133W-B
P0CL35	YNL339W-B
P0CL36	YHR219C-A
P0CL36	YML133W-B
P0CL36	YNL339W-B
P0CL37	YLR466C-A
P0CL37	YLR467C-A
P0CL37	YOR396C-A
P0CL38	YLR466C-A
P0CL38	YLR467C-A
P0CL38	YOR396C-A
P0CL39	YLR466C-A
P0CL39	YLR467C-A
P0CL39	YOR396C-A
P0CL40	YLR466C-A
P0CL40	YLR467C-A
P0CL40	YOR396C-A
P0CL41	YIL177W-A
P0CL41	YJL225W-A
P0CL42	YIL177W-A
P0CL42	YJL225W-A
P0CW40	YIL172C
P0CW40	YJL221C
P0CW41	YIL172C
P0CW41	YJL221C
P0CX08	YEL070W
P0CX08	YNR073C
P0CX09	YEL070W
P0CX09	YNR073C
P0CX10	YOR393W
P0CX10	YPL281C
P0CX11	YOR393W
P0CX11	YPL281C
P0CX12	YBR302C
P0CX12	YML132W
P0CX13	YBR302C
P0CX13	YML132W
P0CX14	YGR296W
P0CX14	YPL283C
P0CX15	YGR296W
P0CX15	YPL283C
P0CX16	YEL076C-A
P0CX16	YLR464W
P0CX17	YEL076C-A
P0CX17	YLR464W
P0CX18	YAR066W
P0CX18	YHR214W
P0CX19	YAR066W
P0CX19	YHR214W
P0CX20	YDR545W
P0CX20	YLR467W
P0CX20	YOR396W
P0CX21	YDR545W
P0CX21	YLR467W
P0CX21	YOR396W
P0CX22	YDR545W
P0CX22	YLR467W
P0CX22	YOR396W
P0CX23	YMR242C
P0CX23	YOR312C
P0CX24	YMR242C
P0CX24	YOR312C
P0CX25	YJR094W-A
P0CX25	YPR043W
P0CX26	YJR094W-A
P0CX26	YPR043W
P0CX27	YHR141C
P0CX27	YNL162W
P0CX28	YHR141C
P0CX28	YNL162W
P0CX29	YGR118W
P0CX29	YPR132W
P0CX30	YGR118W
P0CX30	YPR132W
P0CX31	YER074W
P0CX31	YIL069C
P0CX32	YER074W
P0CX32	YIL069C
P0CX33	YLR287C-A
P0CX33	YOR182C
P0CX34	YLR287C-A
P0CX34	YOR182C
P0CX35	YHR203C
P0CX35	YJR145C
P0CX36	YHR203C
P0CX36	YJR145C
P0CX37	YBR181C
P0CX37	YPL090C
P0CX38	YBR181C
P0CX38	YPL090C
P0CX39	YBL072C
P0CX39	YER102W
P0CX40	YBL072C
P0CX40	YER102W
P0CX41	YBL087C
P0CX41	YER117W
P0CX42	YBL087C
P0CX42	YER117W
P0CX43	YGL135W
P0CX43	YPL220W
P0CX44	YGL135W
P0CX44	YPL220W
P0CX45	YFR031C-A
P0CX45	YIL018W
P0CX46	YFR031C-A
P0CX46	YIL018W
P0CX47	YBR048W
P0CX47	YDR025W
P0CX48	YBR048W
P0CX48	YDR025W
P0CX49	YNL301C
P0CX49	YOL120C
P0CX50	YNL301C
P0CX50	YOL120C
P0CX51	YDL083C
P0CX51	YMR143W
P0CX52	YDL083C
P0CX52	YMR143W
P0CX53	YDR418W
P0CX53	YEL054C
P0CX54	YDR418W
P0CX54	YEL054C
P0CX55	YDR450W
P0CX55	YML026C
P0CX56	YDR450W
P0CX56	YML026C
P0CX57	YAR010C
P0CX57	YPR137C-A
P0CX58	YAR010C
P0CX58	YPR137C-A
P0CX59	YOR142W-A
P0CX59	YPR158W-A
P0CX60	YOR142W-A
P0CX60	YPR158W-A
P0CX61	YFL002W-B
P0CX61	YGR161W-A
P0CX62	YFL002W-B
P0CX62	YGR161W-A
P0CX63	YFL002W-A
P0CX63	YGR161W-B
P0CX64	YFL002W-A
P0CX64	YGR161W-B
P0CX65	YDR316W-A
P0CX65	YER159C-A
P0CX65	YGR161C-C
P0CX65	YMR051C
P0CX66	YDR316W-A
P0CX66	YER159C-A
P0CX66	YGR161C-C
P0CX66	YMR051C
P0CX67	YDR316W-A
P0CX67	YER159C-A
P0CX67	YGR161C-C
P0CX67	YMR051C
P0CX68	YDR316W-A
P0CX68	YER159C-A
P0CX68	YGR161C-C
P0CX68	YMR051C
P0CX69	YDR316W-A
P0CX69	YER159C-A
P0CX69	YGR161C-C
P0CX69	YMR051C
P0CX70	YDR365W-A
P0CX70	YER137C-A
P0CX70	YLR157C-A
P0CX70	YPL257W-A
P0CX71	YDR365W-A
P0CX71	YER137C-A
P0CX71	YLR157C-A
P0CX71	YPL257W-A
P0CX72	YDR365W-A
P0CX72	YER137C-A
P0CX72	YLR157C-A
P0CX72	YPL257W-A
P0CX73	YDR365W-A
P0CX73	YER137C-A
P0CX73	YLR157C-A
P0CX73	YPL257W-A
P0CX74	YJR026W
P0CX74	YLR227W-A
P0CX74	YML040W
P0CX75	YJR026W
P0CX75	YLR227W-A
P0CX75	YML040W
P0CX76	YJR026W
P0CX76	YLR227W-A
P0CX76	YML040W
P0CX77	YLR155C
P0CX77	YLR157C
P0CX77	YLR158C
P0CX77	YLR160C
P0CX78	YLR155C
P0CX78	YLR157C
P0CX78	YLR158C
P0CX78	YLR160C
P0CX79	YLR155C
P0CX79	YLR157C
P0CX79	YLR158C
P0CX79	YLR160C
P0CX80	YHR053C
P0CX80	YHR055C
P0CX81	YHR053C
P0CX81	YHR055C
P0CX82	YBL027W
P0CX82	YBR084C-A
P0CX83	YBL027W
P0CX83	YBR084C-A
P0CX84	YDL136W
P0CX84	YDL191W
P0CX85	YDL136W
P0CX85	YDL191W
P0CX86	YDL133C-A
P0CX86	YDL184C
P0CX87	YDL133C-A
P0CX87	YDL184C
P0CX88	YAR060C
P0CX88	YHR212C
P0CX89	YAR060C
P0CX89	YHR212C
P0CX90	YHR212W-A
P0CX91	YHR212W-A
P0CX92	YAR069C
P0CX92	YHR214C-D
P0CX93	YAR069C
P0CX93	YHR214C-D
P0CX94	YER190C-B
P0CX94	YGR296C-B
P0CX94	YPL283W-B
P0CX94	YPR204C-A
P0CX95	YER190C-B
P0CX95	YGR296C-B
P0CX95	YPL283W-B
P0CX95	YPR204C-A
P0CX96	YER190C-B
P0CX96	YGR296C-B
P0CX96	YPL283W-B
P0CX96	YPR204C-A
P0CX97	YER190C-B
P0CX97	YGR296C-B
P0CX97	YPL283W-B
P0CX97	YPR204C-A
P0CX98	YER190C-B
P0CX98	YGR296C-B
P0CX98	YPL283W-B
P0CX98	YPR204C-A
P0CX99	YFL068W
P0CX99	YLL066W-A
P0CX99	YLL067W-A
P0CY00	YFL068W
P0CY00	YLL066W-A
P0CY00	YLL067W-A
P0CY01	YFL068W
P0CY01	YLL066W-A
P0CY01	YLL067W-A
P0CY02	YLR154C-H
P0CY02	YLR156C-A
P0CY02	YLR157C-C
P0CY02	YLR159C-A
P0CY03	YLR154C-H
P0CY03	YLR156C-A
P0CY03	YLR157C-C
P0CY03	YLR159C-A
P0CY04	YLR154C-H
P0CY04	YLR156C-A
P0CY04	YLR157C-C
P0CY04	YLR159C-A
P0CY05	YLR154C-H
P0CY05	YLR156C-A
P0CY05	YLR157C-C
P0CY05	YLR159C-A
P0CY06	YCL066W
P0CY06	YCR040W
P0CY07	YCL066W
P0CY07	YCR040W
P0CY08	YCL067C
P0CY08	YCR039C
P0CY09	YCL067C
P0CY09	YCR039C
P0CY11	YCR097W
P0CY13	YCR096C
P0CZ17	YLR155C
P0CZ17	YLR157C
P0CZ17	YLR158C
P0CZ17	YLR160C
P10080	YHL034C
P10081	YJL138C
P10081	YKR059W
P10127	YGL256W
P10174	YMR256C
P10355	YER153C
P10356	YER152C
P10363	YIR008C
P10507	YLR163C
P10566	YJL133W
P10591	YAL005C
P10592	YLL024C
P10614	YHR007C
P10622	YDL130W
P10659	YLR180W
P10662	YDR347W
P10663	YPR166C
P10664	YBR031W
P10823	YER020W
P10834	YGR222W
P10849	YDL044C
P10862	YCR066W
P10863	YER011W
P10869	YER052C
P10870	YDL194W
P10961	YGL073W
P10962	YAL025C
P10963	YKR097W
P10964	YOR341W
P11075	YDR170C
P11076	YDL192W
P11154	YGL062W
P11325	YLR382C
P11353	YDR044W
P11412	YNL241C
P11433	YAL041W
P11484	YDL229W
P11491	YDR481C
P11632	YPR052C
P11633	YBR089C-A
P11655	YNR026C
P11709	YCL029C
P11710	YCL027W
P11745	YMR235C
P11746	YMR043W
P11747	YML098W
P11792	YHR205W
P11914	YHR024C
P11927	YNL188W
P11938	YNL216W
P11972	YLR452C
P11978	YDR227W
P11986	YJL153C
P12383	YGL013C
P12385	YBR143C
P12611	YOR043W
P12612	YDR212W
P12630	YIL015W
P12683	YML075C
P12684	YLR450W
P12685	YJL129C
P12686	YGR084C
P12687	YNL005C
P12688	YKL126W
P12689	YOR346W
P12695	YNL071W
P12709	YBR196C
P12753	YNL250W
P12754	YGR083C
P12866	YKL209C
P12868	YMR231W
P12887	YML021C
P12904	YGL115W
P12945	YDL040C
P12954	YJL092W
P12962	YOR276W
P13045	YDR009W
P13090	YML116W
P13099	YLR234W
P13130	YHR139C
P13134	YNL238W
P13181	YLR081W
P13185	YDR122W
P13186	YLR096W
P13188	YOR168W
P13259	YGR202C
P13298	YML106W
P13365	YAL040C
P13382	YNL102W
P13393	YER148W
P13433	YFL036W
P13434	YBL021C
P13483	YML113W
P13517	YIL034C
P13574	YHR084W
P13586	YGL167C
P13587	YDR040C
P13663	YDR158W
P13711	YGL205W
P13712	YBR195C
P13856	YGR152C
P13902	YOL108C
P14020	YPR183W
P14063	YKL138C
P14064	YKL109W
P14065	YOR120W
P14066	YDL069C
P14120	YGL030W
P14126	YOR063W
P14127	YDR447C
P14164	YKL112W
P14180	YBR038W
P14242	YNL082W
P14284	YPL167C
P14291	YLR263W
P14306	YLR178C
P14359	YJL151C
P14540	YKL060C
P14680	YJL141C
P14681	YGR040W
P14682	YDR054C
P14693	YHR083W
P14724	YFR036W
P14736	YER162C
P14737	YDR217C
P14741	YKR026C
P14742	YKL104C
P14743	YLR195C
P14747	YML057W
P14772	YLL015W
P14832	YDR155C
P14843	YDR035W
P14904	YKL103C
P14905	YDR197W
P14906	YOR254C
P14907	YJL041W
P14908	YMR228W
P14922	YBR112C
P15019	YLR354C
P15108	YMR186W
P15179	YPL104W
P15180	YDR037W
P15202	YDR256C
P15274	YML035C
P15303	YPR181C
P15315	YGL166W
P15365	YJR152W
P15367	YIR022W
P15380	YOR348C
P15424	YDR194C
P15436	YDL102W
P15442	YDR283C
P15454	YDR454C
P15496	YPL117C
P15565	YDR120C
P15624	YLR060W
P15625	YFL022C
P15646	YDL014W
P15700	YKL024C
P15703	YGR282C
P15705	YOR027W
P15731	YBR082C
P15732	YDR059C
P15790	YIL035C
P15801	YOR330C
P15807	YBR213W
P15873	YBR088C
P15891	YCR088W
P15938	YKR086W
P15992	YBR072W
P16120	YCR053W
P16140	YBR127C
P16151	YDR414C
P16370	YIL021W
P16387	YER178W
P16451	YGR193C
P16467	YLR134W
P16474	YJL034W
P16521	YLR249W
P16522	YHR166C
P16523	YNL210W
P16547	YIL136W
P16550	YCL050C
P16603	YHR042W
P16622	YOR176W
P16639	YGL017W
P16649	YCR084C
P16658	YLR105C
P16661	YBR110W
P16664	YDR137W
P16861	YGR240C
P16862	YMR205C
P16892	YBL016W
P16965	YGR008C
P17064	YER056C
P17065	YNL272C
P17076	YHL033C
P17106	YJR060W
P17119	YPR141C
P17121	YDR389W
P17122	YHR153C
P17123	YHR152W
P17157	YPL031C
P17214	YLR233C
P17255	YDL185W
P17260	YNL322C
P17261	YCR075C
P17423	YHR025W
P17442	YGR233C
P17505	YKL085W
P17536	YNL079C
P17555	YNL138W
P17558	YOR158W
P17629	YDR138W
P17649	YGR019W
P17695	YDR513W
P17709	YCL040W
P17883	YPR189W
P17890	YNL151C
P17891	YGR167W
P17898	YNL130C
P17967	YCL043C
P18238	YBR085W
P18239	YBL030C
P18408	YPR167C
P18409	YAL010C
P18410	YAL009W
P18411	YAL008W
P18412	YBR083W
P18414	YBL040C
P18480	YBR289W
P18494	YER040W
P18496	YLR393W
P18544	YOL140W
P18562	YHR128W
P18634	YLR392C
P18759	YBR080C
P18851	YOR212W
P18852	YJR086W
P18888	YHL025W
P18898	YGL155W
P18899	YMR173W
P18900	YBR003W
P18961	YMR104C
P18962	YHR028C
P18963	YBR140C
P19073	YLR229C
P19097	YPL231W
P19145	YKR039W
P19146	YDL137W
P19158	YOL081W
P19211	YJR047C
P19262	YDR148C
P19263	YLR071C
P19358	YDR502C
P19414	YLR304C
P19454	YOR061W
P19516	YPL132W
P19524	YOR326W
P19541	YPL133C
P19657	YPL036W
P19658	YJL085W
P19659	YOL051W
P19735	YBR055C
P19736	YDL030W
P19807	YGL077C
P19812	YGR184C
P19880	YML007W
P19881	YDL236W
P19882	YLR259C
P19955	YFR049W
P19956	YMR225C
P20048	YMR013C
P20049	YBR166C
P20050	YIL072W
P20051	YLR420W
P20052	YOL001W
P20053	YPR178W
P20081	YNL135C
P20084	YMR286W
P20095	YNR011C
P20107	YMR243C
P20133	YPR176C
P20134	YOR140W
P20424	YPR088C
P20433	YJL140W
P20434	YBR154C
P20435	YPR187W
P20436	YOR224C
P20437	YMR199W
P20438	YPL256C
P20447	YGL078C
P20448	YJL033W
P20449	YOR046C
P20457	YKL045W
P20459	YJR007W
P20484	YKL021C
P20485	YLR133W
P20486	YBR135W
P20604	YDL047W
P20606	YPL218W
P20676	YOR098C
P20795	YLR396C
P20840	YJR004C
P20967	YIL125W
P21147	YGL055W
P21182	YOL052C
P21190	YJR094C
P21192	YLR131C
P21242	YOR362C
P21243	YGL011C
P21264	YOR128C
P21268	YJL157C
P21269	YER168C
P21304	YLR196W
P21306	YPL271W
P21339	YOR188W
P21372	YBR237W
P21373	YJR049C
P21374	YJR050W
P21375	YJR051W
P21524	YER070W
P21538	YBR049C
P21560	YPL215W
P21576	YKR001C
P21592	YPL172C
P21595	YDR402C
P21623	YDR403W
P21651	YJR021C
P21657	YIR023W
P21672	YIL066C
P21691	YKR101W
P21705	YNL314W
P21734	YDR177W
P21771	YDR337W
P21801	YLL041C
P21825	YPL094C
P21826	YIR031C
P21827	YGL097W
P21951	YNL262W
P21954	YDL066W
P21957	YHL020C
P21965	YNL307C
P22007	YDL090C
P22023	YOR336W
P22035	YKR099W
P22082	YOR290C
P22108	YDR530C
P22133	YOL126C
P22134	YER142C
P22135	YJL180C
P22136	YMR282C
P22137	YGL206C
P22138	YPR010C
P22139	YOR210W
P22140	YHR123W
P22141	YER012W
P22146	YMR307W
P22147	YGL173C
P22148	YOL116W
P22149	YGL071W
P22202	YER103W
P22203	YOR332W
P22204	YGR092W
P22209	YAR018C
P22211	YNL183C
P22213	YDR189W
P22214	YLR268W
P22215	YOR307C
P22216	YPL153C
P22217	YLR043C
P22219	YBR097W
P22224	YGL233W
P22276	YOR207C
P22289	YGR183C
P22336	YAR007C
P22353	YJL063C
P22354	YKR085C
P22434	YGL248W
P22438	YGR171C
P22470	YDR143C
P22515	YKL210W
P22516	YPL008W
P22517	YOL016C
P22543	YLR240W
P22579	YOL004W
P22580	YDR242W
P22696	YJR017C
P22768	YOL058W
P22803	YGR209C
P22804	YIL004C
P22855	YGL156W
P22936	YKL114C
P22943	YFL014W
P23059	YCR020C-A
P23060	YCR019W
P23179	YHL022C
P23180	YHL021C
